system:index,City,Latitude,Longitude,Population,average_masked_max,average_masked_mean,average_masked_min,average_masked_stdDev,city,.geo
0000000000000000001d,Rājkot,22.2969,70.7984,2043000,39.132835388183594,4.546499980412827,0.0,6.201298468091588,Rājkot,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Ahmedabad,23.0219,72.5797,9272670,111.9651107788086,16.800403841192974,0.0,14.276082100147724,Ahmedabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Kanpur,24.285,72.6933,5230000,42.06622314453125,0.6353890322713137,0.0,1.836391210793279,Kanpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,Vasai-Virar,19.47,72.8,1221233,45.904624938964844,3.032498878417809,0.0,5.890305061055918,Vasai-Virar,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,Sursi,22.3888,72.813,4771,21.061931610107422,1.8662120114398033,0.0,2.1700070228225727,Sursi,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,Damān,20.4169,72.834,44282,44.752994537353516,3.10083011256984,0.0,5.420031685117197,Damān,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Sūrat,21.205,72.84,6538000,177.1905517578125,9.937994573228796,0.0,11.747233473174411,Sūrat,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,Bhayandar,19.3,72.85,814655,81.48036193847656,9.739264406350152,0.0,13.36291161068475,Bhayandar,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,Mumbai,19.0758,72.8775,24973000,203.9615478515625,19.622484490566965,0.0,20.351531690831774,Mumbai,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,Wāpi,20.3667,72.9,230000,44.752994537353516,4.170363551063352,0.0,5.692250821744076,Wāpi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,Gorwa,22.5066,72.9155,3569,89.43598175048828,3.590587925286884,0.0,4.522641198884063,Gorwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,Thāne,19.18,72.9633,1886941,203.9615478515625,20.489900864268453,0.0,18.19554679878552,Thāne,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,Anghad,22.3913,72.9946,19805,281.93316650390625,5.6753863741213335,0.0,11.275856248175874,Anghad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,Jodhpur,26.2944,73.0278,1033918,82.31854248046875,6.794847232338276,0.0,10.654370621879197,Jodhpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,Mamnoli,19.2404,73.045,3421,75.27545928955078,13.77999978012145,0.0,13.59940374188918,Mamnoli,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,Kalyān,19.25,73.15,1246381,73.8147964477539,10.043663216123898,0.0,11.609066157296473,Kalyān,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,Ulhāsnagar,19.2167,73.15,506098,73.8147964477539,11.4042580740652,0.0,12.42439740489284,Ulhāsnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,Amarnāth,19.209,73.186,253475,73.8147964477539,9.24284364428198,0.0,10.677776680614796,Amarnāth,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Vadodara,22.3,73.2,3500000,281.93316650390625,8.64797624200872,0.0,13.107713259889206,Vadodara,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,Nāsik,20.0,73.7833,1486053,58.476104736328125,5.272066033495545,0.0,7.529310790254585,Nāsik,"{""type"":""MultiPoint"",""coordinates"":[]}"
