City,Population
Mumbai,24973000
Kolkāta,21747000
Delhi,16349831
Chennai,12395000
Bangalore,10456000
Ahmedabad,9272670
Pune,8231000
Hyderābād,7677018
Sūrat,6538000
Prayagraj,5954391
Kanpur,5230000
Kanpur,4581268
Belāhi,4487379
Vadodara,3500000
Nādampālaiyam,3458045
Lucknow,3382000
Kannankulam,3243170
Mahuākherāganj,3198982
Nagla,3198982
Jaipur,3073350
Kottārasshēri,2952254
Attadappa,2615266
Barmhān Kalān,2537000
Gorakhpur,2500000
Nāgpur,2405665
Guwāhāti,2376654
Ghāziābād,2375820
Coimbatore,2136916
Patna,2046652
Rājkot,2043000
Vishākhapatnam,2035922
Indore,1994397
Abhepur,1895686
Gumānwāla,1890422
Thāne,1886941
Bhopāl,1798218
Āgra,1760285
Peyanvilai,1750176
Pimpri-Chinchwad,1729320
Saundhonwāli,1696694
Harbatpur,1696694
Ludhiāna,1618879
Meerut,1571434
Madurai,1561129
Nāsik,1486053
Farīdābād,1404653
Madārpur,1367765
Najafgarh,1365152
Jabalpur,1267564
Kamalwaganja Gaur,1260078
Madanpur,1260078
Kalyān,1246381
Āsansol,1243414
Vijayavāda,1230000
Vasai-Virar,1221233
Vārānasi,1198491
Kalleli,1197412
Srīnagar,1180570
Aurangābād,1175116
Dhanbād,1162472
Amritsar,1159227
Hāora,1077075
Rānchi,1073440
Gwalior,1069276
Jodhpur,1033918
Chandīgarh,1026459
Raipur,1010087
Warangal,1005938
Kota,1001694
Trichinopoly,916857
Gurgaon,876824
Bhubaneshwar,837737
Bhayandar,814655
Narela,809913
Thiruvananthapuram,743691
Dispur,734577
Sahāranpur,705478
Āvadi,695000
Salem,693236
Kochi,677381
Guntūr,670073
Jamshedpur,629659
Raurkela,552970
Sūrappattu,517589
Loni,516082
Ulhāsnagar,506098
Gaya,474093
Ambattūr,466205
Salt Lake City,403316
Quilon,397419
Munro Turuttu,397419
Bhātpāra,386019
Kākināda,384182
Pānihāti,377347
Brahmapur,355823
Rājahmundry,341831
Muzaffarpur,333200
Kāmārhāti,330211
Kulti,313809
Oulgaret,300104
Yelahanka,300000
Darbhanga,296039
Chunchura,288090
Imphāl,268243
Arrah,261430
Amarnāth,253475
Begusarai,252008
New Delhi,249998
Tiruvottiyūr,249446
Puducherry,244377
Alleppey,240991
Katihār,240565
Alwāl,240000
Wāpi,230000
Pallāvaram,215417
Secunderābād,213698
Chāpra,212955
Kharagpur,207604
Shimla,206575
Nāngloi Jāt,205596
Puri,201026
Baharampur,195223
Murtazābād,189117
Ittikara,185008
Dinapore,182241
Tambaram,182071
Shrīrāmpur,181842
Hugli,179931
Vypīn,176567
Mauli,176152
Chandannagar,166867
Sultānpur Mazra,163716
Krishnanagar,153062
Bārākpur,152783
Bhālswa Jahangirpur,151427
Hājīpur,147688
Shillong,143229
Malkājgiri,141175
Dehri,137231
Dalūpura,132628
Mandoli,120417
Balasore,118162
Baripāda,116874
Titāgarh,116541
Dam Dam,114786
Kaliānpur,112014
Delhi Cantonment,110351
Khardah,108496
Sītāmarhi,106093
Jamālpur,105221
Bānsbāria,103920
Dhuliān,95706
Tripunittura,92521
Brājarājnagar,80403
Baj Baj,76837
Kalamasseri,70776
Siuri,67864
Tamlūk,65306
Poonamallee,56237
Nerkunram,52570
Tirupparangunram,51543
Damān,44282
Diamond Harbour,41802
Kendrāparha,41404
Mayyanād,40039
Pujali,37047
Perunād,35173
Khagaul,34364
Edappalli,33829
Mannanchōri,32139
Dharampur,30856
Sānkrāil,29114
Kantai,27549
Nāsriganj,27490
Elangunnapuzha,26997
Dalsingh Sarai,26658
Pānchla,26432
Vayakkalattu,26384
Koelwār,26304
Bāruni,26117
Kola,25191
Sāhibpur Kamāl,25128
Ayirūrpāra,25000
Edavanakad,24856
Mahārājgani,24282
Madangir,23448
Madappalli,23341
Mūlampilli,23272
Peringuzha,22378
Pāmpur,21680
Kānke,21650
Rāja Pākar,21644
Palliman,20677
Kandakkadava,20487
Sohāna,20000
Khizrpur,19817
Anghad,19805
Oruvadālkotta,19345
Dumra,19186
Perunturuttu,18691
Dumjor,18433
Mannara,18343
Ulao,18020
Vandalūr,17655
Lakhnaur,17442
Cherakara,17342
Usmānpur,17085
Khusropur,16109
Valavakāttumūla,15966
Tillor Khurd,15000
Garhpura,14741
Tonakkal,13567
Jamira,13469
Dundigal,13465
Ayodhyāpattanam,13122
Neykkārappatti,13027
Bandlagūda,12734
Bakhtāwarpur,12716
Desri,12324
Mugalivakkam,12083
Khānpur,12066
Perumbakkam,11551
Pākkam,11509
Manappakkam,11358
Akola,11351
Chhabila,11054
Bāgnān,10996
Nao Kothi,10946
Nīrkunnam,10770
Panamarattuppatti,10725
Begampur,10487
Nipania,10000
Bhawānīpur,9971
Perumbalam,9733
Masar,9613
Kondaparti,9551
Hesarghatta,9485
Māmidipalli,9236
Bommayapālaiyam,8796
Kampel,8780
Mahadipur,8638
Gundūr,8587
Pachrukhi,8508
Mannivakkam,8424
Palāsgāchi,8303
Singhaul,8286
Raghunandanpur,8005
Harilādih,7917
Pahleza,7888
Mādnāikanhalli,7805
Bhabāt,7743
Pithauriā,7674
Hilora,7667
Mevalūrkuppam,7653
Bāgalūr,7519
Pālavedu,7467
Kismatpur,7288
Kādiganahalli,7225
Ballālpur,7217
Narpatnagar,7186
Dhanas,7094
Jājigrām,6977
Imamnagar,6933
Mogalcherla,6922
Vīrapāndi,6862
Sahdai Buzurg,6823
Valasaiyūr,6565
Jogta,6498
Shivni,6432
Daryāpur Kalān,6310
Sakhara,6256
Hasanpur,6177
Dīgnagar,6023
Gangauli,5943
Giddha,5728
Valaiyankulam,5712
Muria,5594
Pīpalda,5579
Sītānagaram,5447
Kūttambākkam,5217
Kambarasampettai,5178
Sukkainpatti,5138
Bayandhalli,5118
Bahlolpur,4993
Sondekoppa,4866
Manauli,4843
Parappatti,4837
Vellānūr,4825
Sursi,4771
Babura,4755
Pātacudapah,4730
Mādavar,4678
Kadabgeri,4573
Keshopur,4559
Basavanhalli,4510
Putlampalle,4490
Manchirevula,4459
Tippampatti,4411
Nanmangalam,4386
Tildānga,4378
Togān,4197
Ambāpuram,4110
Gobardhanpur,4080
Kair,4074
Pallippatti,4066
Kumbalam,4000
Sonnappanhalli,3996
Chanditala,3984
Agaram,3949
Pātapādu,3933
Andauli,3894
Pallappatti,3879
Baniara,3834
Doddajīvanhalli,3792
Kolapakkam,3729
Permi,3697
Kūllampatti,3632
Gorwa,3569
Diālpura,3556
Kasiām,3480
Takkolu,3465
Panaiyūr,3454
Bhainsaha,3454
Deuriya,3439
Solankuruni,3422
Mamnoli,3421
Jālādipur,3319
Berkap,3272
Wattināgulapalli,3245
Himāyatsāgar,3244
Huttanhalli,3240
Suara,3234
Dahāur,3186
Katār,3149
Sotur,3115
Vājarhalli,3009
Cāchohalli,2946
Kasgatpur,2852
Rānipur,2844
Bhagwānpur,2840
Gāgilāpur,2832
Kitanelli,2827
Bartala,2814
Tendua Dusādhi,2770
Sikdārpur,2691
Dhurali,2691
Chinnanūr,2688
Bendravādi,2684
Nedumadurai,2593
Kodagihalli,2585
Mota Mazra,2563
Mailanhalli,2543
Bhagwatpur Patera,2508
Jotsema,2458
